,Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,gameid
166,828,SFO,0,0,0,0,0,0,0,0,,1,3,1,3,1,1,15,0,15,0,0,8
167,687,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,189,1,79,1,1,8
168,682,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,78,0,35,0,0,8
169,18,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,23,1,18,0,0,8
170,701,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0,8
171,23,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0,8
172,427,DET,38,57,338,3,1,3,24,43,92.6,3,14,0,10,0,0,0,0,0,0,0,8
173,283,DET,0,0,0,0,0,0,0,0,,9,54,1,20,9,8,56,0,11,0,0,8
174,829,DET,0,0,0,0,0,0,0,0,,11,39,0,16,11,8,65,1,43,0,0,8
175,740,DET,0,0,0,0,0,0,0,0,,1,9,0,9,4,3,50,0,25,0,0,8
176,245,DET,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,97,1,23,0,0,8
177,830,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,23,0,20,0,0,8
178,831,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,19,0,11,0,0,8
179,595,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,14,0,7,0,0,8
180,832,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,12,1,7,0,0,8
181,305,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0,8
182,833,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,8
183,287,GNB,15,28,133,0,2,1,11,31,36.8,0,0,0,0,0,0,0,0,0,0,0,9
184,834,GNB,5,7,68,0,0,1,4,32,102.1,0,0,0,0,0,0,0,0,0,1,1,9
185,835,GNB,0,0,0,0,0,0,0,0,,4,19,0,6,2,1,7,0,7,0,0,9
186,836,GNB,0,0,0,0,0,0,0,0,,5,14,0,8,0,0,0,0,0,0,0,9
187,279,GNB,0,0,0,0,0,0,0,0,,5,9,0,3,2,2,13,0,7,0,0,9
188,197,GNB,0,0,0,0,0,0,0,0,,1,1,0,1,1,1,32,0,32,0,0,9
189,278,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,56,0,31,0,0,9
190,837,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,19,0,19,0,0,9
191,270,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,19,0,19,0,0,9
192,271,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,17,0,10,0,0,9
193,286,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,16,0,14,0,0,9
194,838,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,14,0,7,0,0,9
195,288,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,8,0,5,0,0,9
196,720,NOR,14,20,148,5,0,0,0,55,130.8,6,37,0,15,0,0,0,0,0,0,0,9
197,515,NOR,1,1,3,0,0,0,0,3,79.2,2,1,0,2,0,0,0,0,0,0,0,9
198,522,NOR,0,0,0,0,0,0,0,0,,20,83,0,14,4,3,8,1,3,0,0,9
199,839,NOR,0,0,0,0,0,0,0,0,,11,50,0,9,1,1,3,0,3,0,0,9
200,840,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,72,1,55,0,0,9
201,841,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,21,2,12,0,0,9
202,842,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,18,0,8,0,0,9
203,843,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,0,14,0,0,9
204,109,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,1,10,0,0,9
205,844,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,9
206,845,PHI,27,35,264,3,0,1,3,28,126.4,7,62,0,14,0,0,0,0,0,1,0,10
207,622,PHI,0,0,0,0,0,0,0,0,,15,74,0,23,5,4,39,0,25,0,0,10
208,846,PHI,0,0,0,0,0,0,0,0,,9,37,1,8,3,2,6,0,9,0,0,10
209,847,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,71,1,19,0,0,10
