,Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,gameid
109,755,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0,5
110,610,PHI,28,39,313,3,0,1,0,53,121.0,4,5,0,2,0,0,0,0,0,0,0,5
111,630,PHI,0,0,0,0,0,0,0,0,,9,47,0,17,3,3,16,0,7,0,0,5
112,625,PHI,0,0,0,0,0,0,0,0,,6,44,0,17,3,2,11,0,6,0,0,5
113,622,PHI,0,0,0,0,0,0,0,0,,11,25,0,19,2,1,2,0,2,0,0,5
114,609,PHI,0,0,0,0,0,0,0,0,,1,2,1,2,7,5,49,1,16,0,0,5
115,627,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,154,2,53,0,0,5
116,611,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,54,0,26,0,0,5
117,606,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,16,0,9,0,0,5
118,631,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,11,0,7,0,0,5
119,730,TEN,14,24,248,3,0,4,32,75,133.3,3,24,0,13,0,0,0,0,0,0,0,6
120,741,TEN,0,0,0,0,0,0,0,0,,19,84,1,18,2,1,75,1,75,0,0,6
121,745,TEN,0,0,0,0,0,0,0,0,,1,10,0,10,1,1,7,0,7,0,0,6
122,743,TEN,0,0,0,0,0,0,0,0,,3,7,0,6,4,3,6,0,7,0,0,6
123,732,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,100,0,51,0,0,6
124,736,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,55,2,16,0,0,6
125,726,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,6
126,742,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,6
127,735,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,6
128,739,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,6
129,738,TEN,0,0,0,0,0,0,0,0,,2,-2,0,-1,0,0,0,0,0,0,0,6
130,170,CLE,25,38,285,1,3,5,41,35,64.0,0,0,0,0,0,0,0,0,0,0,0,6
131,174,CLE,0,0,0,0,0,0,0,0,,17,75,0,15,4,3,10,0,7,0,0,6
132,784,CLE,0,0,0,0,0,0,0,0,,1,13,0,13,2,2,23,0,12,0,0,6
133,176,CLE,0,0,0,0,0,0,0,0,,1,10,0,10,7,4,67,0,34,0,0,6
134,173,CLE,0,0,0,0,0,0,0,0,,1,4,1,4,2,1,14,0,14,0,0,6
135,175,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,71,0,24,0,0,6
136,166,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,46,0,35,0,0,6
137,177,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,37,1,18,0,0,6
138,180,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,10,0,0,6
139,165,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,6
140,380,KAN,25,33,378,3,0,0,0,68,143.2,1,2,0,2,0,0,0,0,0,0,0,7
141,785,KAN,0,1,0,0,0,0,0,0,39.6,1,-1,0,-1,0,0,0,0,0,0,0,7
142,79,KAN,0,0,0,0,0,0,0,0,,10,81,0,31,1,1,12,0,12,0,0,7
143,378,KAN,0,0,0,0,0,0,0,0,,13,26,1,6,6,6,39,0,18,0,0,7
144,379,KAN,0,0,0,0,0,0,0,0,,1,5,0,5,2,2,16,0,8,0,0,7
145,372,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,198,3,68,0,0,7
146,386,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,88,0,42,0,0,7
147,385,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0,7
148,370,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0,7
149,382,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,7
150,377,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,7
151,366,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,0,0,0,0,0,7
152,349,JAX,22,25,275,2,1,1,3,69,122.5,1,6,0,6,0,0,0,0,0,0,0,7
153,356,JAX,5,8,75,1,0,0,0,35,132.8,0,0,0,0,0,0,0,0,0,0,0,7
154,364,JAX,0,0,0,0,0,0,0,0,,13,66,0,14,6,4,28,0,12,1,1,7
155,357,JAX,0,0,0,0,0,0,0,0,,1,7,0,7,1,0,0,0,0,0,0,7
156,351,JAX,0,0,0,0,0,0,0,0,,1,2,0,2,6,5,30,1,15,0,0,7
157,362,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,146,1,69,0,0,7
158,344,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,97,1,21,0,0,7
159,350,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,32,0,9,0,0,7
160,360,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,17,0,5,0,0,7
161,30,ATL,33,46,304,2,2,4,32,23,85.8,2,24,0,12,0,0,0,0,0,0,0,8
162,35,ATL,0,0,0,0,0,0,0,0,,6,31,0,16,1,1,9,0,9,0,0,8
163,37,ATL,0,0,0,0,0,0,0,0,,8,19,0,5,4,3,12,0,7,1,1,8
164,25,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,9,9,77,0,16,0,0,8
165,41,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,64,1,20,0,0,8
166,23,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,57,0,23,0,0,8
167,27,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,41,0,23,0,0,8
168,44,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,31,1,10,0,0,8
169,42,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,8
170,26,ATL,0,0,0,0,0,0,0,0,,1,-1,0,-1,2,1,13,0,13,0,0,8
171,458,MIN,8,10,98,1,0,1,1,31,140.8,6,4,1,3,0,0,0,0,0,2,0,8
172,473,MIN,0,0,0,0,0,0,0,0,,21,111,2,22,2,2,9,0,8,0,0,8
173,477,MIN,0,0,0,0,0,0,0,0,,9,49,0,23,0,0,0,0,0,0,0,8
174,471,MIN,0,0,0,0,0,0,0,0,,2,8,0,6,0,0,0,0,0,0,0,8
175,465,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,43,1,23,0,0,8
176,472,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,37,0,31,0,0,8
177,468,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0,8
178,459,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,8
179,689,SFO,18,27,166,1,1,1,8,39,80.2,2,-2,0,-1,0,0,0,0,0,0,0,9
180,686,SFO,0,0,0,0,0,0,0,0,,9,40,0,18,1,1,0,0,0,0,0,9
181,684,SFO,0,0,0,0,0,0,0,0,,15,37,0,13,1,0,0,0,0,0,0,9
182,692,SFO,0,0,0,0,0,0,0,0,,6,23,0,12,3,2,33,0,31,0,0,9
183,682,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,54,0,19,0,0,9
184,693,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,39,1,39,0,0,9
185,687,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,17,0,14,1,1,9
186,683,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,9,0,9,0,0,9
187,698,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,7,0,7,0,0,9
188,695,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0,9
189,720,TAM,20,36,194,1,3,3,20,28,45.4,5,13,0,5,0,0,0,0,0,2,0,9
190,725,TAM,0,0,0,0,0,0,0,0,,13,75,0,16,1,1,18,0,18,0,0,9
191,711,TAM,0,0,0,0,0,0,0,0,,8,33,0,14,4,2,12,0,8,0,0,9
192,719,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,53,1,28,0,0,9
193,724,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,33,0,11,0,0,9
194,710,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,32,0,15,1,1,9
195,714,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,28,0,16,0,0,9
196,723,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,10,0,5,0,0,9
197,718,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,8,0,7,0,0,9
198,786,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,9
199,427,LAR,23,39,186,1,1,1,3,24,69.0,4,0,0,3,0,0,0,0,0,1,0,10
200,419,LAR,0,0,0,0,0,0,0,0,,14,97,0,25,1,1,4,0,4,0,0,10
201,423,LAR,0,0,0,0,0,0,0,0,,11,53,2,17,0,0,0,0,0,0,0,10
202,431,LAR,0,0,0,0,0,0,0,0,,2,16,0,20,13,8,70,0,22,0,0,10
